Point1,Point2,Point3,Point4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.5405935,1.916039,1.916039,3.832078
0,0,0,0
0.13145208,5.910712,5.910712,11.821424
7.4863057,0,0,0
0.3080908,13.85323,13.85323,27.70646
5.022458,0,0,0
0,0,0,0
9.734586,32.833298,32.833298,65.666596
0,0,0,0
16.98004,0.17227852,0.17227852,0.34455704
0.5753017,16.704567,16.704567,33.409134
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1.6623876,1.6623876,3.3247752
0,0.738839,0.738839,1.477678
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2.899354,1.331938,1.331938,2.663876
17.39743,45.22673,45.22673,90.45346
1.2913755,0,0,0
0,0,0,0
2.8429008,0,0,0
0,2.124162,2.124162,4.248324
0.70927244,16.86224,16.86224,33.72448
0,0,0,0
9.743912,3.6082063,3.6082063,7.2164126
0,0,0,0
25.301819,0.2584178,0.2584178,0.5168356
2.9447172,1.4600844,1.4600844,2.9201688
7.462525,31.185472,31.185472,62.370944
3.197062,0,0,0
0,0,0,0
24.425869,37.675747,37.675747,75.351494
1.8387593,7.40528,7.40528,14.81056
0,2.3088717,2.3088717,4.6177434
0,1.6623876,1.6623876,3.3247752
0,0,0,0
0,3.818601,3.818601,7.637202
0,0,0,0
