Year,Month,Point1,Point2,Point3,Point4
1956,5,128.48731687,105.49502240000001,105.49502240000001,210.99004480000002
1956,6,35.60651459,28.99603325,28.99603325,57.9920665
1956,7,232.71869140999996,193.09474747399997,193.09474747399997,386.18949494799995
1956,8,109.27369264999999,138.280640665,138.280640665,276.56128133
1956,9,57.104655705999996,66.49162709000001,66.49162709000001,132.98325418000002
1956,10,118.21398034999999,251.776628695,251.776628695,503.55325739
1956,11,162.8060337,249.10587067400002,249.10587067400002,498.21174134800003
1956,12,0.0,0.0,0.0,0.0
1957,1,0.0,0.0,0.0,0.0
1957,2,0.0,0.0,0.0,0.0
1957,3,5.22173484,8.3157157,8.3157157,16.6314314
1957,4,58.65458277999999,32.12202053,32.12202053,64.24404106
1957,5,89.34215135000001,84.64918136,84.64918136,169.29836272
1957,6,99.77370871000001,114.78714059,114.78714059,229.57428118
1957,7,101.04921990000001,86.78588548000002,86.78588548000002,173.57177096000004
1957,8,53.34576639000001,58.08428128,58.08428128,116.16856256
1957,9,138.22130375,98.78862826,98.78862826,197.57725652
1957,10,119.06828867,229.15642675999996,229.15642675999996,458.3128535199999
1957,11,40.09981309500001,24.875027100000004,24.875027100000004,49.75005420000001
1957,12,0.0,0.0,0.0,0.0
1958,1,0.0,0.0,0.0,0.0
1958,2,0.0,0.0,0.0,0.0
1958,3,34.914803799999994,43.072299799999996,43.072299799999996,86.14459959999999
1958,4,77.74810264999999,55.26242067,55.26242067,110.52484134
1958,5,107.70224092999999,107.5120585,107.5120585,215.024117
1958,6,60.71392272,46.72163810000001,46.72163810000001,93.44327620000001
1958,7,130.33672961,169.12742008,169.12742008,338.25484016
1958,8,129.76813879,147.46424645000002,147.46424645000002,294.92849290000004
1958,9,10.64663491,19.225454990000003,19.225454990000003,38.450909980000006
1958,10,21.08080821,21.1667904,21.1667904,42.3335808
1958,11,6.77829694,5.89092602,5.89092602,11.78185204
1958,12,0.0,0.0,0.0,0.0
1959,1,0.0,0.0,0.0,0.0
1959,2,0.0,0.0,0.0,0.0
1959,3,0.0,0.0,0.0,0.0
1959,4,19.071041379999997,62.33547691,62.33547691,124.67095382
1959,5,108.23320433,62.4714621,62.4714621,124.9429242
1959,6,311.96928347999994,250.23723879000002,250.23723879000002,500.47447758000004
1959,7,129.5414134,173.29227829,173.29227829,346.58455658
1959,8,67.32575303,87.07430855000001,87.07430855000001,174.14861710000002
1959,9,116.82691029000001,163.26930554,163.26930554,326.53861108
1959,10,23.199968119999998,40.770714600000005,40.770714600000005,81.54142920000001
1959,11,35.45649935,112.36925294000001,112.36925294000001,224.73850588000002
1959,12,0.0,0.0,0.0,0.0
1960,1,0.0,0.0,0.0,0.0
1960,2,0.0,0.0,0.0,0.0
1960,3,1.9451997,5.1390499,5.1390499,10.2780998
